[ ERROR ] Traffic data posting failed: {'country': 'VCT', 'year': 2011, 'rate': 3.69293} No keyword with name 'POST' found.
[ WARN ] Invalid traffic data: {'country': 'SWError', 'year': 2019, 'rate': 3.13947}
[ ERROR ] Traffic data posting failed: {'country': 'SWE', 'year': 2018, 'rate': 3.61718} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'SVN', 'year': 2018, 'rate': 4.52394} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'SGP', 'year': 2019, 'rate': 2.08609} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'NOR', 'year': 2019, 'rate': 2.12302} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'NLD', 'year': 2019, 'rate': 3.98313} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'MLT', 'year': 2019, 'rate': 4.10715} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'MDV', 'year': 2019, 'rate': 1.6277} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'LUX', 'year': 2019, 'rate': 4.07499} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'LCA', 'year': 2008, 'rate': 3.52918} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'KIR', 'year': 2019, 'rate': 1.92481} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'JPN', 'year': 2019, 'rate': 3.59908} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'ISR', 'year': 2019, 'rate': 3.90874} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'ISL', 'year': 2019, 'rate': 2.04915} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'IRL', 'year': 2019, 'rate': 3.13364} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'GTM', 'year': 2006, 'rate': 4.61297} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'GRD', 'year': 2014, 'rate': 4.59137} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'GBR', 'year': 2019, 'rate': 3.21187} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'FSM', 'year': 2019, 'rate': 0.15972} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'FIN', 'year': 2019, 'rate': 3.88637} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'EST', 'year': 2019, 'rate': 4.46408} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'ESP', 'year': 2019, 'rate': 3.91405} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'DNK', 'year': 2019, 'rate': 3.69833} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'DEU', 'year': 2019, 'rate': 3.78353} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'CYP', 'year': 2013, 'rate': 4.9831} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'CHE', 'year': 2019, 'rate': 2.24644} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'AUT', 'year': 2019, 'rate': 4.86592} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'AUS', 'year': 2019, 'rate': 4.93914} No keyword with name 'POST' found.
[ ERROR ] Traffic data posting failed: {'country': 'ATG', 'year': 2019, 'rate': 0.0} No keyword with name 'POST' found.
